,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,-1.996383e-05,-4.639849e-06,-2.2362918e-05,-5.312264e-06,-1.2051314e-05,4.358124e-06,-0.00017218292,-4.0717423e-06,-5.1781535e-07,-2.4015084e-05,-5.9232116e-07,1.5321653e-05,-2.4570152e-05,1.7154962e-05,-3.605336e-05,-1.0407763e-05,1.0278076e-05,1.0072254e-05,-2.0140782e-05,-5.7332218e-06,1.6314909e-05,7.52043e-06,-2.2107735e-05,2.1465123e-05,-3.3161603e-05,6.4708292e-06,0.00021823961,1.180917e-05,-1.1049211e-05,-4.543271e-05,4.2105094e-06,-2.9001385e-05,-1.366809e-05,6.2393956e-06,-3.301073e-05,-1.8700957e-05,-2.7790666e-06,2.0094216e-05,1.485832e-05,7.0617534e-06,-1.2244243e-05,-8.368865e-06,-9.195879e-06,-1.9179191e-05,-3.5418198e-06,4.306552e-06,-1.3846904e-05,4.6987087e-05,-2.1805987e-05,4.9993396e-06,-1.0374002e-05,9.258394e-06,3.291294e-05,4.58844e-05,-2.1100044e-05,1.8741935e-05,-1.632236e-05,-5.13345e-06,9.5181167e-07,2.5555491e-06,-2.7598813e-05,-3.0366704e-05,-2.349654e-06,9.95025e-06,-3.5509467e-05,8.1025064e-08,-2.6784837e-06,1.9855797e-06,2.9042363e-05,1.1995435e-05,2.3897737e-05,3.3148564e-05,-4.194677e-06,3.878027e-06,1.6704202e-05,-4.6228757e-05,-3.6170706e-05,-2.8911978e-05,-6.3814223e-06,-2.8826296e-05,2.251193e-05,-1.963228e-06,1.4536083e-05,1.2526289e-06,-1.6098842e-05,-1.79559e-05,4.3585896e-07,-1.2744684e-05,-2.367422e-05,0.00010495074,1.4089048e-05,-1.0237563e-05,-1.4876947e-05,-5.5190176e-06,-2.5064684e-05,1.4061108e-05,-3.343448e-06,2.0843e-05,0.00013361499,1.0857359e-05,-3.9255247e-06,-9.704381e-07,-1.3373792e-06,3.1918287e-05,-8.821487e-06,1.1660159e-06,3.454089e-05,-2.6360154e-05,-2.2416934e-05,3.8592145e-05,-9.68948e-06,-4.4964254e-06,6.8061054e-06,-5.5069104e-06,-3.3429358e-05,1.861155e-05,-9.883195e-06,2.1573156e-05,1.8075109e-05,1.2984499e-05,-3.0126423e-05,1.6028062e-05,-8.013658e-05,7.681549e-06,-1.001358e-05,-9.68948e-06,1.0794029e-06,2.1661632e-05
1,-2.1334738e-05,-8.875504e-06,-2.2938475e-05,-8.85129e-06,-1.2790784e-05,5.715061e-06,-0.0001794938,-8.7730587e-07,-6.016344e-07,-2.5060028e-05,3.5837293e-06,1.3073906e-05,-2.770871e-05,1.4184043e-05,-3.517419e-05,-1.2631528e-05,7.4878335e-06,6.0554594e-06,-2.3305416e-05,-9.190291e-06,1.4376827e-05,3.7038699e-06,-1.5866011e-05,1.8319115e-05,-3.357418e-05,1.0944903e-05,0.00021960493,1.3787299e-05,-1.1511147e-05,-4.7733076e-05,5.8296137e-06,-3.0487776e-05,-1.3517216e-05,7.36909e-06,-3.4559518e-05,-1.6581267e-05,-5.167909e-06,2.185814e-05,7.983297e-06,5.76023e-06,-1.2630742e-05,-8.255243e-06,-9.85153e-06,-2.196664e-05,-5.0705858e-06,6.2806066e-07,-1.5713274e-05,4.865043e-05,-2.3771077e-05,1.6093254e-06,-9.65409e-06,1.0139367e-05,2.8640032e-05,4.8302114e-05,-2.0891428e-05,2.1066517e-05,-1.4711171e-05,-7.3090196e-06,4.420057e-06,7.171184e-07,-2.5739893e-05,-2.8030947e-05,-2.7066271e-06,1.2986362e-05,-3.6586076e-05,6.5844506e-07,-6.1392784e-06,3.369525e-06,2.9074028e-05,1.1181459e-05,1.9293278e-05,3.8149767e-05,-8.359551e-06,5.130656e-06,1.3642013e-05,-4.7700014e-05,-3.5682693e-05,-2.597645e-05,-3.5203993e-06,-3.125146e-05,2.7809292e-05,-1.7695129e-06,1.1790544e-05,1.9213185e-06,-1.8626451e-05,-1.5102327e-05,-1.3262033e-06,-1.3887417e-05,-2.4905428e-05,0.00010828301,1.9270927e-05,-1.2205448e-05,-1.8741004e-05,-4.827045e-06,-2.695527e-05,1.5813857e-05,-4.896894e-06,1.5849248e-05,0.00012772158,1.2770295e-05,-5.791895e-06,3.343448e-06,-2.82377e-06,2.990663e-05,-7.994473e-06,-1.7136335e-07,3.547594e-05,-2.3022294e-05,-2.1192245e-05,3.886409e-05,-1.1216849e-05,-6.4708292e-06,6.5173954e-06,-1.9455329e-06,-3.5216566e-05,2.1684915e-05,-1.111906e-05,1.5063211e-05,1.6476959e-05,1.3787299e-05,-2.6311725e-05,1.4351681e-05,-8.1462786e-05,1.19283795e-05,-1.1110678e-05,-1.2056902e-05,4.772097e-06,2.1266751e-05
2,-2.1670014e-05,-6.791204e-06,-2.4560839e-05,-3.6805868e-06,-8.817762e-06,9.722076e-06,-0.00017584115,1.5841797e-06,-2.2631139e-06,-2.2979453e-05,5.5879354e-07,1.121033e-05,-3.0076131e-05,1.430884e-05,-3.373623e-05,-1.0076445e-05,7.726252e-06,6.077811e-06,-2.6971102e-05,-6.686896e-06,1.0251999e-05,5.248934e-06,-1.3045967e-05,1.9337982e-05,-3.5163946e-05,1.4342368e-05,0.0002176743,8.441508e-06,-1.7490238e-05,-4.759617e-05,2.5541522e-06,-2.7861446e-05,-1.006946e-05,7.733237e-06,-3.2781623e-05,-1.21966e-05,-4.201196e-06,2.0591542e-05,3.5315752e-06,3.2810494e-06,-1.0136486e-05,-5.6484714e-06,-7.333234e-06,-2.2898428e-05,-5.0780363e-06,1.8529827e-06,-1.2077391e-05,4.714355e-05,-2.9860064e-05,4.0978193e-07,-8.305535e-06,1.1675409e-05,2.6658177e-05,4.94197e-05,-2.4672598e-05,2.4843961e-05,-1.1436641e-05,-3.9748847e-06,7.2568655e-06,3.1404197e-06,-2.8204173e-05,-3.0430034e-05,-1.6579725e-06,1.50837e-05,-3.4332275e-05,-3.813766e-07,-1.0080636e-05,1.4025718e-06,2.6024878e-05,1.0849908e-05,1.5482306e-05,3.9196573e-05,-6.5490603e-06,2.6971102e-06,1.7371029e-05,-4.723179e-05,-3.9823353e-05,-2.1968037e-05,-2.462417e-06,-3.0480325e-05,2.6866794e-05,-3.1553209e-06,1.4651567e-05,5.5413693e-07,-1.5694648e-05,-1.2181699e-05,2.4586916e-06,-1.4625024e-05,-2.2929162e-05,0.00010883808,1.773052e-05,-1.2557022e-05,-1.9608065e-05,-5.5395067e-06,-2.9267743e-05,1.6113743e-05,-8.236617e-06,1.6018748e-05,0.00012707151,1.11777335e-05,-9.263866e-06,6.649643e-06,-7.3947012e-06,3.4086406e-05,-8.754432e-06,3.3266842e-06,3.322959e-05,-1.8553808e-05,-2.2281893e-05,4.1604042e-05,-9.644777e-06,-5.8999285e-06,8.62591e-06,-5.5423006e-06,-3.3030286e-05,2.4199486e-05,-1.4279038e-05,1.7184764e-05,1.4092773e-05,1.2349337e-05,-2.85469e-05,1.2064353e-05,-8.5694715e-05,1.3586134e-05,-1.0075048e-05,-1.4884397e-05,3.820285e-06,2.0756386e-05
3,-1.9313768e-05,-3.2726675e-06,-2.1608546e-05,-1.66893e-06,-9.447336e-06,3.5832636e-06,-0.00017194636,-4.4452026e-06,-1.8570572e-06,-2.2521242e-05,-2.8423965e-06,1.5236903e-05,-2.3826957e-05,2.0485371e-05,-3.6064535e-05,-8.594478e-06,1.325272e-05,1.1418946e-05,-1.9524246e-05,-4.1015446e-06,1.4157966e-05,8.6743385e-06,-2.5194138e-05,2.4454668e-05,-3.2776035e-05,6.0908496e-06,0.0002172133,8.676201e-06,-1.4387071e-05,-4.5787543e-05,3.0000228e-06,-2.8051436e-05,-1.27106905e-05,6.099697e-06,-3.1936914e-05,-1.8492341e-05,-1.0514632e-06,1.9075349e-05,1.5038997e-05,6.845221e-06,-1.1916942e-05,-8.405186e-06,-7.433817e-06,-1.8979888e-05,-4.141126e-06,6.0625607e-06,-1.3388693e-05,4.5057386e-05,-2.3176894e-05,7.1637332e-06,-1.0536984e-05,1.036824e-05,3.3132732e-05,4.6748668e-05,-2.330169e-05,1.9390136e-05,-1.548417e-05,-3.490597e-06,-7.096678e-07,2.6673079e-06,-2.9381365e-05,-3.251247e-05,-1.4575635e-06,9.292737e-06,-3.517419e-05,6.859191e-07,-1.5683472e-06,5.438924e-07,2.9712915e-05,1.21016055e-05,2.5488436e-05,3.292132e-05,-1.3709068e-06,1.6707927e-06,2.0172447e-05,-4.5610126e-05,-3.8051978e-05,-2.8558075e-05,-7.264316e-06,-2.889894e-05,1.996383e-05,-1.7657876e-06,1.695007e-05,1.7508864e-06,-1.3852492e-05,-1.8361956e-05,1.6093254e-06,-1.2270641e-05,-2.3933128e-05,0.00010457635,1.1551194e-05,-1.0075979e-05,-1.3763085e-05,-6.7194924e-06,-2.4995767e-05,1.6855076e-05,-4.0233135e-06,2.3489818e-05,0.00014138315,1.0265037e-05,-6.4419582e-06,-7.1153045e-07,-3.9190054e-06,3.580749e-05,-1.0900199e-05,2.5331974e-06,3.3959746e-05,-2.7189031e-05,-2.3865141e-05,4.040636e-05,-9.171665e-06,-3.6275014e-06,7.342547e-06,-6.6962093e-06,-3.2362062e-05,1.7452985e-05,-1.1222437e-05,2.8764829e-05,1.7553568e-05,1.0957941e-05,-3.446266e-05,1.5510246e-05,-8.219667e-05,8.061528e-06,-9.421259e-06,-1.0687858e-05,-3.57721e-06,2.2750348e-05
4,-1.9581988e-05,-6.215647e-06,-1.9619241e-05,-5.5134296e-07,-7.2997063e-06,2.6719645e-06,-0.00017753616,-9.0617687e-07,-3.4756958e-06,-2.3791566e-05,3.9488077e-07,1.0945369e-05,-2.3541972e-05,2.2120774e-05,-3.4615397e-05,-7.2759576e-06,1.2861565e-05,1.3247132e-05,-1.9524246e-05,-5.7071447e-06,7.607043e-06,7.0463866e-06,-2.2822991e-05,2.3232773e-05,-3.2437965e-05,7.5921416e-06,0.00020698179,7.76723e-06,-1.695007e-05,-4.5880675e-05,1.6710255e-06,-2.8112903e-05,-1.1950731e-05,7.770024e-06,-2.9250048e-05,-1.7337501e-05,-3.380701e-07,1.8619001e-05,9.52743e-06,3.1790696e-06,-1.0130345e-05,-6.8582594e-06,-7.4654818e-06,-2.0146836e-05,-7.5728167e-06,6.928458e-06,-1.70134e-05,4.146062e-05,-2.4208799e-05,8.713454e-06,-1.1719763e-05,1.3096083e-05,2.7816743e-05,4.8879534e-05,-2.4940819e-05,2.0101666e-05,-1.32881105e-05,-4.0903687e-06,-2.2295862e-06,-1.3615936e-06,-2.8086826e-05,-3.179349e-05,5.2779797e-08,1.0073185e-05,-3.580749e-05,2.8028153e-06,-2.766028e-06,1.9930303e-07,2.8543174e-05,1.1945143e-05,2.3726374e-05,3.606733e-05,-4.1648746e-06,-1.6670674e-07,2.0544976e-05,-4.3225475e-05,-4.0544197e-05,-2.612546e-05,-6.8526715e-06,-2.9604882e-05,2.1677464e-05,-1.0877848e-06,1.5158206e-05,2.4940819e-06,-1.3615936e-05,-1.8499792e-05,3.2931566e-06,-1.13523565e-05,-2.4367124e-05,0.00010561384,1.3546087e-05,-1.0885764e-05,-1.4761463e-05,-6.331131e-06,-2.5883317e-05,2.3616478e-05,-5.463138e-06,2.2754073e-05,0.00014192984,1.0157004e-05,-1.2619421e-05,2.3711473e-06,-8.452684e-06,3.65749e-05,-1.2610108e-05,2.3432076e-06,3.3028424e-05,-2.2184104e-05,-2.4046749e-05,4.0233135e-05,-1.02855265e-05,-2.0945445e-06,4.639849e-06,-6.2528998e-06,-2.9366463e-05,1.6059726e-05,-1.4601275e-05,3.234297e-05,1.4510006e-05,9.167939e-06,-3.4980476e-05,1.4161691e-05,-8.242577e-05,9.88692e-06,-9.935349e-06,-1.2282282e-05,-2.9299408e-06,2.4148263e-05
5,-2.2541732e-05,-6.5807253e-06,-2.2277236e-05,-2.0973384e-06,-8.998439e-06,6.3758343e-06,-0.0001775939,4.287809e-06,-3.1050295e-06,-2.2847205e-05,3.9115548e-07,9.565614e-06,-2.7963892e-05,1.8769875e-05,-2.82377e-05,-7.2100665e-06,9.750947e-06,7.7812e-06,-2.6782975e-05,-6.3553452e-06,8.142553e-06,5.8310106e-06,-1.7443672e-05,2.2102147e-05,-3.447663e-05,1.3861805e-05,0.0002214592,7.405877e-06,-1.92523e-05,-4.604645e-05,2.0964071e-06,-2.7114525e-05,-9.045005e-06,8.890871e-06,-3.303215e-05,-1.161918e-05,-6.8582594e-06,1.7700717e-05,3.1664968e-06,2.0628795e-07,-8.35181e-06,-3.85195e-06,-5.7965517e-06,-2.0782463e-05,-7.563969e-06,3.6340207e-06,-1.1820346e-05,4.416518e-05,-3.072247e-05,3.501773e-07,-1.0459684e-05,1.5281781e-05,2.4907291e-05,5.0395727e-05,-2.7298927e-05,2.591312e-05,-1.0136515e-05,-3.606081e-06,5.2992254e-06,1.5646219e-06,-2.8618611e-05,-3.4062192e-05,-1.1803495e-06,1.5515834e-05,-3.2987446e-05,-1.8654391e-06,-1.045689e-05,-3.2782555e-07,2.4048612e-05,1.0674819e-05,1.534447e-05,3.917981e-05,-4.9099326e-06,1.1017546e-06,1.938641e-05,-4.6579633e-05,-4.1818246e-05,-1.8876046e-05,-1.1920929e-06,-3.0584633e-05,2.6032329e-05,-4.0456653e-06,1.6123056e-05,-1.7359853e-06,-1.3267621e-05,-1.3053417e-05,3.9804727e-06,-1.39824115e-05,-2.4056062e-05,0.00010701269,1.5622936e-05,-1.2258533e-05,-1.9388273e-05,-4.532747e-06,-3.094226e-05,2.0017847e-05,-9.587035e-06,1.8447638e-05,0.00013568811,1.16396695e-05,-1.2948178e-05,6.677583e-06,-1.1101365e-05,3.4142286e-05,-9.056181e-06,3.7327409e-06,2.9731542e-05,-1.5936792e-05,-2.4714507e-05,4.2734668e-05,-8.761883e-06,-4.4675544e-06,9.581447e-06,-6.94301e-06,-3.158953e-05,2.6065856e-05,-1.5086494e-05,2.5274232e-05,1.1283904e-05,1.00545585e-05,-3.1296164e-05,1.1144206e-05,-8.5983425e-05,1.566112e-05,-8.740462e-06,-1.6722828e-05,-3.9022416e-07,2.0876527e-05
6,-2.0384789e-05,-6.6123903e-06,-2.3854896e-05,-2.8721988e-06,-8.776784e-06,3.986992e-06,-0.0001723133,-2.5825575e-06,-2.2854656e-06,-2.4676323e-05,3.170222e-06,1.3831537e-05,-2.308935e-05,1.8768013e-05,-3.8728118e-05,-9.005889e-06,1.0346994e-05,1.2923032e-05,-1.7976388e-05,-8.001924e-06,1.0977499e-05,6.793998e-06,-2.3191795e-05,2.146326e-05,-3.3007003e-05,5.956739e-06,0.00020938832,1.1269003e-05,-1.3940036e-05,-4.708022e-05,2.1890737e-06,-2.9494986e-05,-1.3021752e-05,7.083174e-06,-2.8535724e-05,-1.82949e-05,3.6135316e-07,2.1539629e-05,1.2116507e-05,4.808884e-06,-1.0743097e-05,-7.44313e-06,-1.0298565e-05,-2.0742882e-05,-4.1867606e-06,5.715643e-06,-1.842156e-05,4.5640394e-05,-2.2172928e-05,9.11206e-06,-1.075957e-05,1.0089774e-05,3.1549484e-05,4.884228e-05,-2.1152198e-05,1.7806888e-05,-1.5577301e-05,-6.2026083e-06,-9.760261e-07,-1.73226e-06,-2.8338283e-05,-2.9319897e-05,-1.5684491e-06,8.219853e-06,-3.8832426e-05,4.6403147e-06,-1.2312084e-06,2.1811575e-06,2.9472634e-05,1.3705343e-05,2.580136e-05,3.4459867e-05,-6.902963e-06,2.1066517e-06,1.6253442e-05,-4.3906737e-05,-3.78415e-05,-3.0063093e-05,-8.095056e-06,-2.9154122e-05,2.3599714e-05,1.1138618e-06,1.2151897e-05,3.0957162e-06,-1.6672537e-05,-1.8663704e-05,1.1399388e-06,-1.2890436e-05,-2.4778768e-05,0.00010639429,1.4368445e-05,-1.2389384e-05,-1.3378449e-05,-6.2268227e-06,-2.4565496e-05,2.0528212e-05,-3.0696392e-06,1.9662082e-05,0.00013430975,1.1811033e-05,-7.367693e-06,4.656613e-08,-3.695488e-06,3.5077333e-05,-1.3563782e-05,-1.1175871e-07,3.5915524e-05,-2.4545938e-05,-2.2671185e-05,3.8731843e-05,-1.1503696e-05,-3.2484531e-06,4.0326267e-06,-5.554408e-06,-3.0685216e-05,1.4763325e-05,-1.2403354e-05,2.618879e-05,1.8633902e-05,1.2645498e-05,-3.0923635e-05,1.5852973e-05,-8.077361e-05,6.020069e-06,-1.1604279e-05,-1.0007992e-05,-2.1792948e-07,2.4323352e-05
7,-2.4138018e-05,-4.544854e-06,-2.2755936e-05,-9.890646e-06,-1.7233193e-05,7.209368e-06,-0.00017162226,2.5937334e-06,1.7248094e-06,-2.6134774e-05,1.411885e-06,1.29691325e-05,-2.6883557e-05,1.41803175e-05,-2.611801e-05,-9.387964e-06,5.396083e-06,8.232892e-06,-2.5760382e-05,-7.3611736e-06,1.6693026e-05,7.195398e-06,-1.4305115e-05,1.7937273e-05,-3.4375116e-05,1.0155141e-05,0.00022391323,1.5255064e-05,-8.746982e-06,-4.2058527e-05,5.180249e-06,-2.8911978e-05,-1.2053177e-05,8.3372e-06,-3.5460107e-05,-1.4446676e-05,-1.0889955e-05,1.7147511e-05,9.173527e-06,2.6440248e-06,-8.979958e-06,-3.7029386e-06,-1.055561e-05,-1.7513055e-05,-3.7564896e-06,3.5446137e-06,-1.046434e-05,4.836172e-05,-2.5164336e-05,-3.285706e-06,-1.1743978e-05,1.2252771e-05,3.1862408e-05,4.510209e-05,-2.1085143e-05,2.3514032e-05,-1.4351681e-05,-5.6661665e-06,6.446615e-06,2.8572977e-06,-2.5407411e-05,-3.1141564e-05,-4.9305527e-06,1.3757497e-05,-3.24063e-05,-5.8212318e-06,-9.877607e-06,1.8291175e-06,2.0788983e-05,1.1149794e-05,1.5038997e-05,3.4289435e-05,-6.7800283e-06,7.3052943e-06,1.3392419e-05,-4.873122e-05,-3.794022e-05,-2.24635e-05,-4.7683716e-07,-3.025122e-05,2.644211e-05,-5.7928264e-06,1.4033169e-05,-4.920177e-06,-1.6257167e-05,-1.4230609e-05,2.0824373e-06,-1.5605707e-05,-2.2947788e-05,0.00010469183,1.6939826e-05,-1.0181218e-05,-1.8602237e-05,-8.92207e-07,-3.0077063e-05,1.0568649e-05,-7.318333e-06,1.886487e-05,0.00012108777,1.1598691e-05,-2.3366883e-06,1.2144446e-06,-3.2782555e-06,2.3778528e-05,-2.1830201e-06,-1.7508864e-07,2.8543174e-05,-1.811795e-05,-2.3741275e-05,3.8232654e-05,-6.6272914e-06,-4.2766333e-06,9.268522e-06,-8.345582e-06,-3.3060554e-05,2.7030706e-05,-8.3828345e-06,1.1591241e-05,1.4375895e-05,1.4450401e-05,-2.3134053e-05,1.3882294e-05,-7.985905e-05,1.20177865e-05,-8.7320805e-06,-1.1939555e-05,7.674098e-06,1.7997809e-05
8,-2.2731721e-05,-1.0449439e-05,-2.566725e-05,-9.6820295e-06,-1.3260171e-05,9.71416e-06,-0.00018097647,3.3574179e-06,-6.891787e-08,-2.6250258e-05,7.1935356e-06,1.0513235e-05,-3.074482e-05,1.1418015e-05,-3.3527613e-05,-1.2871344e-05,3.196299e-06,4.3557957e-06,-2.6995316e-05,-1.1201948e-05,1.212582e-05,2.7967617e-06,-9.17539e-06,1.42119825e-05,-3.455486e-05,1.5549362e-05,0.00021558441,1.4986843e-05,-1.1343509e-05,-4.7304668e-05,5.0533563e-06,-3.0219555e-05,-1.1662021e-05,9.274576e-06,-3.3365563e-05,-1.2010336e-05,-6.8033114e-06,2.1910295e-05,7.748604e-07,2.3348257e-06,-1.06586085e-05,-5.1697716e-06,-1.1296943e-05,-2.3807865e-05,-4.710164e-06,-5.720649e-07,-1.5549362e-05,4.8547983e-05,-2.599135e-05,-2.6896596e-06,-8.640811e-06,1.06549705e-05,2.5276095e-05,4.851818e-05,-2.0276755e-05,2.3309141e-05,-1.3014302e-05,-7.793307e-06,9.113923e-06,3.3527613e-07,-2.4306588e-05,-2.591312e-05,-3.680485e-06,1.5821308e-05,-3.5900623e-05,5.0803646e-07,-1.1030585e-05,4.1499734e-06,2.4264678e-05,1.1321157e-05,1.3176352e-05,4.0618703e-05,-1.2692064e-05,6.2352046e-06,1.0296702e-05,-4.699407e-05,-3.658235e-05,-2.2541732e-05,-1.3448298e-06,-3.0957162e-05,3.087148e-05,-3.1664968e-06,9.588897e-06,-1.816079e-07,-1.9365922e-05,-1.180917e-05,3.5576522e-07,-1.5087891e-05,-2.2973865e-05,0.00010920875,2.2663735e-05,-1.32620335e-05,-2.0978041e-05,-3.3527613e-06,-2.928637e-05,1.4126301e-05,-7.990748e-06,1.142174e-05,0.00011438411,1.25635415e-05,-5.9893355e-06,7.0054084e-06,-4.630536e-06,2.681464e-05,-6.131828e-06,-1.7881393e-07,3.347546e-05,-1.6130507e-05,-1.9931234e-05,3.823079e-05,-1.0814518e-05,-6.441027e-06,5.956739e-06,-2.243556e-06,-3.3892225e-05,2.4791807e-05,-1.2294389e-05,6.6682696e-06,1.4394522e-05,1.4970079e-05,-2.1208078e-05,1.231581e-05,-8.115731e-05,1.3433397e-05,-1.0965392e-05,-1.36606395e-05,1.2201257e-05,1.9710511e-05
9,-2.3894012e-05,-8.450821e-06,-2.0682812e-05,-1.0348856e-05,-1.5476719e-05,5.7173893e-06,-0.00017845258,5.5311248e-06,4.8428774e-08,-2.6382506e-05,4.015863e-06,9.555835e-06,-2.8960407e-05,1.4515594e-05,-2.3897737e-05,-9.659911e-06,5.988404e-06,6.4633787e-06,-2.8183684e-05,-8.955598e-06,1.1512078e-05,4.054047e-06,-1.180917e-05,1.7458573e-05,-3.4281984e-05,1.3239682e-05,0.00022760965,1.3690442e-05,-1.2170523e-05,-4.336983e-05,5.426584e-06,-2.942793e-05,-1.1127442e-05,9.790063e-06,-3.6416575e-05,-1.3127923e-05,-1.2055039e-05,1.7846003e-05,3.8668513e-06,-5.9604645e-08,-8.908508e-06,-3.8016587e-06,-8.955598e-06,-1.9596424e-05,-8.196337e-06,1.5299302e-06,-1.2271106e-05,4.5858324e-05,-2.6943162e-05,-4.3809414e-06,-1.2174249e-05,1.5012512e-05,2.4940819e-05,4.6927482e-05,-2.4154782e-05,2.5093555e-05,-1.1727214e-05,-6.2324107e-06,6.4112246e-06,5.6251884e-07,-2.4229288e-05,-3.154576e-05,-2.6644557e-06,1.6743317e-05,-3.2261014e-05,-5.263835e-06,-1.2785196e-05,1.6242266e-06,2.1442771e-05,9.173527e-06,1.1637807e-05,3.946945e-05,-8.240342e-06,6.4717606e-06,1.4223158e-05,-4.8226444e-05,-3.9014965e-05,-1.7933547e-05,1.5404075e-06,-3.1221658e-05,2.8841197e-05,-5.2265823e-06,1.2878329e-05,-3.5585836e-06,-1.6698614e-05,-1.3392419e-05,1.5217811e-06,-1.4130492e-05,-2.4355948e-05,0.00010716915,2.0009466e-05,-1.1315104e-05,-2.206117e-05,-5.001202e-07,-3.1548552e-05,1.6951934e-05,-8.719042e-06,1.7296523e-05,0.00012646057,1.2295321e-05,-9.59076e-06,5.1055104e-06,-7.849187e-06,2.4881214e-05,-4.2282045e-06,1.8626451e-07,2.861768e-05,-1.4292076e-05,-2.3312867e-05,3.970787e-05,-8.009374e-06,-4.766509e-06,7.953495e-06,-5.6494027e-06,-3.3534598e-05,3.1091273e-05,-1.2231059e-05,1.689978e-05,1.065433e-05,1.2397766e-05,-2.4158508e-05,1.20177865e-05,-8.201599e-05,1.7173588e-05,-9.313226e-06,-1.5098602e-05,4.7972426e-06,1.8649735e-05
