method,wee,5z,ruc,aic,mot,axi,az628,azd6482,azd7762,azd8055,bi2536,bms536,bms754,bos,bx795,camp,les,chir,emb,dap,pic,gsk19,gef,gsk26,gw44,serd,jnk,jq1,ku,enz,mk,nil,nut,oba,pac1,pd03,pal,pd17,pf47,pf56,ppl,ro,sb,sl,sora,tam,tw,vor,yk,zm
cell_enet,0.494,0.428571429,0.557142857,0.49375,0.456,0.51,0.432,0.398,0.2625,0.524,0.357142857,0.473,0.496,0.376,0.384,0.428,0.514,0.462,0.514285714,0.675,0.564,0.310714286,0.394,0.475,0.554,0.414285714,0.419,0.286,0.601,0.485714286,0.372,0.458,0.372,0.474,0.580357143,0,0.134,0.582,0.534,0.582142857,0.508,0.525,0.502,0.615,0.353571429,0.276,0.401785714,0.284,0.464285714,0.702
enet,0.494,0.353571429,0.521428571,0.3453125,0.462,0.655,0.472,0.308,0.355357143,0.522,0.291071429,0.536,0.504,0.422,0.273,0.355,0.526,0.351,0.441071429,0.628571429,0.368,0.232142857,0.399,0.423,0.496,0.542857143,0.506,0.35,0.43,0.376785714,0.34,0.57,0.372,0.399,0.371428571,0.575,0.148,0.43,0.492,0.507142857,0.444,0.41,0.468,0.668,0.310714286,0.286,0.383928571,0.254,0.444642857,0.476
rf,0.566,0.283928571,0.391071429,0.3640625,0.426,0.682,0.389,0.381,0.307142857,0.265,0.367857143,0.455,0.417,0.393,0.358,0.509,0.415,0.245,0.376785714,0.571428571,0.468,0.530357143,0.397,0.549,0.495,0.425,0.521,0.467,0.419,0.275,0.236,0.409,0.387,0.319,0.428571429,0.469,0.302,0.385,0.559,0.383928571,0.395,0.512,0.422,0.6,0.405357143,0.431,0.294642857,0.255,0.242857143,0.379
mlp,0.588,0.225,0.539285714,0.421875,0.436,0.724,0.258,0.426,0.428571429,0.352,0.342857143,0.492,0.46,0.438,0.178,0.562,0.496,0.188,0.332142857,0.553571429,0.418,0.375,0.324,0.514,0.484,0.492857143,0.652,0.404,0.416,0.246428571,0.354,0.444,0.294,0.35,0.414285714,0.378,0.242,0.356,0.51,0.471428571,0.448,0.46,0.564,0.65,0.410714286,0.332,0.221428571,0.298,0.357142857,0.446
ae,0.638,0.432142857,0.532142857,0.475,0.548,0.788,0.572,0.506,0.632142857,0.542,0.457142857,0.474,0.592,0.458,0.308,0.644,0.518,0.3,0.489285714,0.585714286,0.416,0.542857143,0.424,0.544,0.582,0.496428571,0.7,0.474,0.492,0.460714286,0.418,0.504,0.456,0.478,0.564285714,0.818,0.416,0.424,0.638,0.453571429,0.582,0.508,0.608,0.618,0.525,0.466,0.367857143,0.562,0.482142857,0.458
dae,0.648,0.471428571,0.582142857,0.45,0.542,0.73,0.564,0.536,0.578571429,0.56,0.492857143,0.524,0.534,0.508,0.294,0.568,0.56,0.246,0.571428571,0.610714286,0.434,0.492857143,0.43,0.532,0.53,0.478571429,0.648,0.446,0.506,0.514285714,0.376,0.516,0.42,0.502,0.639285714,0.708,0.436,0.496,0.636,0.45,0.58,0.558,0.552,0.666,0.457142857,0.472,0.346428571,0.512,0.475,0.448
vae,0.764,0.746428571,0.648214286,0.778125,0.564,0.732,0.571,0.63,0.782142857,0.609,0.65,0.576,0.626,0.698,0.733,0.63,0.625,0.602,0.635714286,0.639285714,0.57,0.589285714,0.589,0.668,0.589,0.701785714,0.65,0.605,0.674,0.617857143,0.5,0.581,0.626,0.524,0.717857143,0.626,0.5,0.532,0.64,0.623214286,0.624,0.625,0.57,0.554,0.5,0.608,0.610714286,0.75,0.632142857,0.615
vaen,0.677,0.535714286,0.603571429,0.621875,0.548,0.712,0.591,0.557,0.682142857,0.632,0.553571429,0.54,0.568,0.632,0.67,0.597,0.563,0.562,0.567857143,0.596428571,0.548,0.667857143,0.607,0.61,0.52,0.571428571,0.568,0.554,0.558,0.560714286,0.564,0.63,0.57,0.519,0.571428571,0.572,0.642,0.66,0.514,0.528571429,0.55,0.598,0.56,0.66,0.75,0.606,0.510714286,0.696,0.539285714,0.552
coral,0.692,0.428571429,0.65,0.5625,0.544,0.772,0.572,0.464,0.567857143,0.67,0.521428571,0.5,0.606,0.584,0.344,0.598,0.586,0.314,0.496428571,0.553571429,0.48,0.478571429,0.404,0.622,0.566,0.553571429,0.668,0.436,0.516,0.403571429,0.348,0.482,0.428,0.488,0.607142857,0.766,0.472,0.464,0.618,0.553571429,0.52,0.57,0.636,0.662,0.525,0.45,0.289285714,0.488,0.460714286,0.568
adae,0.778,0.603571429,0.628571429,0.734375,0.682,0.812,0.588,0.546,0.7625,0.611,0.7,0.606,0.608,0.665,0.62,0.636,0.617,0.511,0.617857143,0.635714286,0.585,0.578571429,0.674,0.64,0.632,0.598214286,0.802,0.499,0.739,0.553571429,0.476,0.572,0.518,0.526,0.696428571,0.79,0.516,0.516,0.714,0.592857143,0.666,0.592,0.72,0.714,0.539285714,0.496,0.519642857,0.614,0.564285714,0.591
