method,wee,5z,ruc,aic,mot,axi,az628,azd6482,azd7762,azd8055,bi2536,bms536,bms754,bos,bx795,camp,les,chir,emb,dap,pic,gsk19,gef,gsk26,gw44,serd,jnk,jq1,ku,enz,mk,nil,nut,oba,pac1,pd03,pal,pd17,pf47,pf56,ppl,ro,sb,sl,sora,tam,tw,vor,yk,zm
ndsn,0.582,0.285714286,0.525,0.4625,0.584,0.704,0.53,0.382,0.442857143,0.532,0.428571429,0.472,0.492,0.48,0.298,0.648,0.588,0.368,0.435714286,0.614285714,0.452,0.475,0.4,0.624,0.552,0.55,0.642,0.46,0.39,0.346428571,0.426,0.604,0.366,0.352,0.55,0.438,0.304,0.35,0.57,0.507142857,0.504,0.508,0.654,0.79,0.589285714,0.428,0.396428571,0.42,0.382142857,0.446
mdsn,0.63,0.428571429,0.55,0.61875,0.614,0.79,0.488,0.434,0.557142857,0.578,0.382142857,0.484,0.604,0.462,0.324,0.706,0.644,0.434,0.396428571,0.607142857,0.524,0.582142857,0.47,0.68,0.598,0.528571429,0.64,0.558,0.484,0.482142857,0.488,0.63,0.398,0.458,0.696428571,0.528,0.368,0.35,0.664,0.560714286,0.536,0.51,0.672,0.772,0.539285714,0.564,0.410714286,0.628,0.385714286,0.43
adsn,0.704,0.521428571,0.6,0.7625,0.686,0.822,0.58,0.51,0.739285714,0.634,0.642857143,0.71,0.562,0.672,0.669,0.688,0.616,0.354,0.575,0.739285714,0.608,0.592857143,0.58,0.632,0.63,0.675,0.666,0.502,0.656,0.557142857,0.48,0.602,0.406,0.504,0.710714286,0.746,0.39,0.508,0.668,0.510714286,0.634,0.608,0.63,0.738,0.475,0.588,0.503571429,0.574,0.632142857,0.674
ndsn_norm,0.698,0.442857143,0.660714286,0.628125,0.616,0.852,0.428,0.494,0.657142857,0.516,0.439285714,0.558,0.526,0.514,0.386,0.642,0.654,0.306,0.471428571,0.678571429,0.52,0.675,0.398,0.664,0.566,0.589285714,0.666,0.538,0.486,0.417857143,0.456,0.498,0.466,0.414,0.596428571,0.416,0.326,0.278,0.782,0.564285714,0.554,0.614,0.542,0.74,0.503571429,0.504,0.585714286,0.416,0.4,0.6
mdsn_norm,0.566,0.478571429,0.564285714,0.41875,0.484,0.772,0.812,0.53,0.367857143,0.456,0.478571429,0.586,0.49,0.442,0.268,0.588,0.642,0.352,0.375,0.535714286,0.466,0.614285714,0.334,0.496,0.556,0.603571429,0.62,0.416,0.492,0.657142857,0.504,0.656,0.438,0.58,0.625,0.806,0.436,0.442,0.498,0.471428571,0.554,0.61,0.552,0.818,0.571428571,0.512,0.4,0.638,0.453571429,0.416
adsn_norm,0.778,0.721428571,0.725,0.80625,0.694,0.84,0.754,0.615,0.703571429,0.708,0.807142857,0.675,0.786,0.764,0.862,0.726,0.654,0.664,0.741071429,0.7,0.646,0.8,0.613,0.706,0.626,0.578571429,0.712,0.59,0.772,0.657142857,0.618,0.76,0.606,0.847,0.682142857,0.673,0.7,0.59,0.68,0.589285714,0.675,0.65,0.638,0.826,0.698214286,0.636,0.664285714,0.693,0.648214286,0.714
ndsn_concat,0.594,0.296428571,0.575,0.446875,0.528,0.724,0.502,0.36,0.482142857,0.486,0.45,0.486,0.474,0.472,0.28,0.674,0.566,0.352,0.432142857,0.692857143,0.472,0.485714286,0.394,0.6,0.488,0.492857143,0.61,0.488,0.364,0.332142857,0.438,0.602,0.304,0.366,0.542857143,0.448,0.27,0.354,0.624,0.503571429,0.48,0.49,0.63,0.8,0.632142857,0.424,0.425,0.418,0.346428571,0.448
mdsn_concat,0.636,0.403571429,0.546428571,0.525,0.616,0.764,0.536,0.456,0.6,0.572,0.407142857,0.532,0.568,0.436,0.324,0.728,0.634,0.402,0.421428571,0.614285714,0.518,0.539285714,0.464,0.636,0.582,0.517857143,0.61,0.578,0.436,0.442857143,0.472,0.632,0.334,0.404,0.685714286,0.562,0.37,0.354,0.592,0.628571429,0.542,0.494,0.646,0.734,0.553571429,0.502,0.392857143,0.522,0.439285714,0.448
adsn_concat,0.678,0.503571429,0.596428571,0.7875,0.67,0.822,0.648,0.538,0.732142857,0.546,0.614285714,0.61,0.584,0.618,0.628,0.686,0.618,0.332,0.517857143,0.7,0.592,0.571428571,0.51,0.65,0.628,0.614285714,0.744,0.52,0.602,0.510714286,0.402,0.588,0.378,0.508,0.664285714,0.614,0.398,0.514,0.674,0.482142857,0.636,0.682,0.664,0.704,0.507142857,0.604,0.435714286,0.554,0.535714286,0.576
ndsn_norm_concat,0.564,0.35,0.642857143,0.6625,0.488,0.778,0.556,0.468,0.471428571,0.602,0.378571429,0.592,0.528,0.47,0.288,0.574,0.672,0.458,0.442857143,0.589285714,0.47,0.385714286,0.378,0.61,0.51,0.553571429,0.586,0.594,0.436,0.392857143,0.48,0.542,0.486,0.384,0.55,0.532,0.316,0.498,0.602,0.532142857,0.524,0.594,0.668,0.818,0.703571429,0.418,0.317857143,0.476,0.435714286,0.416
mdsn_norm_concat,0.574,0.392857143,0.496428571,0.4375,0.494,0.754,0.614,0.554,0.446428571,0.5,0.378571429,0.466,0.486,0.416,0.232,0.66,0.576,0.344,0.382142857,0.553571429,0.488,0.514285714,0.34,0.548,0.664,0.571428571,0.638,0.462,0.444,0.446428571,0.466,0.57,0.368,0.49,0.671428571,0.654,0.374,0.442,0.632,0.460714286,0.526,0.596,0.55,0.778,0.496428571,0.472,0.296428571,0.484,0.403571429,0.422
adsn_norm_concat,0.676,0.45,0.664285714,0.665625,0.498,0.738,0.542,0.49,0.589285714,0.55,0.564285714,0.592,0.492,0.534,0.384,0.71,0.596,0.376,0.467857143,0.621428571,0.506,0.55,0.43,0.584,0.634,0.6,0.714,0.484,0.576,0.478571429,0.45,0.484,0.332,0.54,0.660714286,0.788,0.432,0.488,0.616,0.482142857,0.548,0.566,0.61,0.702,0.471428571,0.508,0.303571429,0.546,0.432142857,0.438
