method,wee,5z,ruc,aic,mot,axi,az628,azd6482,azd7762,azd8055,bi2536,bms536,bms754,bos,bx795,camp,les,chir,emb,dap,pic,gsk19,gef,gsk26,gw44,serd,jnk,jq1,ku,enz,mk,nil,nut,oba,pac1,pd03,pal,pd17,pf47,pf56,ppl,ro,sb,sl,sora,tam,tw,vor,yk,zm
cell_enet,0.029988253,0.125392688,0.035718629,0.044455961,0.004605714,0.049270375,0.118484181,0.061611279,0.008743536,0.017960723,0.110939272,0.21541116,0.152328042,0.072326504,0.040116897,0.042458495,0.200296138,0.033629739,0.075710374,0,0.022679778,0.058741074,0,0.068092294,0.015080477,0.038453952,0,0.001582943,0.052776233,0.043578942,0.045245322,0,0.042601172,0,0.153405767,0,0.017956696,0.031958094,0.172791175,0.191916959,0.017304108,0.051109364,0.019625577,0.088543001,0.011958788,0.00874853,0.117557589,0,0.097803903,0.070624478
enet,0.084520418,0.08845861,0.077559842,0.090903818,0.150340641,0.104596663,0.02489021,0.075198371,0.015971351,0.057595577,0.006772046,0.050899617,0.055818422,0.027772097,0.072475246,0.011694714,0.055958784,0.058554235,0.088273836,0.016826235,0.080409645,0.048062425,0.033957828,0.059233636,0.028265902,0.044660765,0.033462952,0,0.062372246,0.070383847,0.072597425,0,0.103875176,0.066054576,0.050533372,0.076878102,0.007213034,0.062407657,0.085159548,0.08570474,0.075777103,0.09792401,0.092709496,0.042644422,0.015634921,0.009386797,0.117697653,0.002622754,0.092739439,0.068373153
rf,0.075766129,0.026942882,0.029896488,0.030433222,0.057666515,0.063811472,0.075718141,0.042717371,0.080441404,0.029605667,0.092344505,0.044397613,0.061309554,0.054591241,0.028457649,0.077302517,0.057657418,0.01160334,0.02145219,0.052170589,0.05609448,0.086729432,0.049297754,0.089534827,0.035331407,0.11256588,0.06688846,0.070189171,0.039348582,0.016070054,0.033553226,0.068013929,0.114638626,0.048101257,0.083092235,0.065207228,0.017316024,0.046116726,0.057390739,0.057670562,0.051716143,0.078038719,0.035246536,0.055242861,0.08880992,0.05939846,0.012269344,0.060176987,0.012979654,0.056570427
mlp,0.099089894,0.052456278,0.080461448,0.053328547,0.040266336,0.06558388,0.035154227,0.086052592,0.102122962,0.037848833,0.06012704,0.05407691,0.121823212,0.071224671,0.077424759,0.0210117,0.029485483,0.004543986,0.06259008,0.068678233,0.057354255,0.099214504,0.034259037,0.05290547,0.053388413,0.089160038,0.075898841,0.0888864,0.06754165,0.017512193,0.016627364,0.020861641,0.02352975,0.033370731,0.082454059,0.042019757,0.013194906,0.035789688,0.112655651,0.084640192,0.029621314,0.061393966,0.065803157,0.103354806,0.10978991,0.031955839,0.054354031,0.050620452,0.062500704,0.056100077
ae,0.077267962,0.088315354,0.105493114,0.103972956,0.183198947,0.037724894,0.149857485,0.039671039,0.107534997,0.105914589,0.1094024,0.040537873,0.097964257,0.041243158,0.145779225,0.070474592,0.060432037,0.104176494,0.072116199,0.022860566,0.040490866,0.109473363,0.114378571,0.053594731,0.030522007,0.073781862,0.072596875,0.069516216,0.135602302,0.021396446,0.047400856,0.042622621,0.109479339,0.090461266,0.087449368,0.042319363,0.103850885,0.027038201,0.089853529,0.03661809,0.068935984,0.081952779,0.068196968,0.074285457,0.058736335,0.028826891,0.188194356,0.055114625,0.062952947,0.046027473
dae,0.088536087,0.099205757,0.116083005,0.041455204,0.153505791,0.088658875,0.165948748,0.077597673,0.017827887,0.134883727,0.07544577,0.112853447,0.069274344,0.07726316,0.065369526,0.05771269,0.036441576,0.061800281,0.120853137,0.076739838,0.051540403,0.081842608,0.056231374,0.044286188,0.07222915,0.074618797,0.05476667,0.076291112,0.045162441,0.038050856,0.071548835,0.036559477,0.034763967,0.051757386,0.107703295,0.062681949,0.023626671,0.046902216,0.172575825,0.090043855,0.086327535,0.108468523,0.063921563,0.073779367,0.077649741,0.093824426,0.090622527,0.096705414,0.059829559,0.018263354
vae,0.011869086,0.095179673,0,0.058210556,0,0,0,0,0.02555061,0,0,0,0,0,0.087634601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042038061,0,0,0,0.012247449,0,0,0.01,0,0.01,0,0,0,0,0,0.01
vaen,0,0.007988044,0,0.029464286,0.017647059,0.04270915,0,0,0.014047619,0,0.019905174,0.013833333,0.026935842,0.052119698,0,0.00785213,0.013969688,0,0.03462585,0.017482993,0.026615385,0.060521542,0,0.024077252,0,0.021496599,0.021074148,0,0.006587302,0.005103785,0,0,0,0,0.026054422,0,0.01471029,0,0,0,0,0.016769415,0,0,0.026984127,0,0,0,0,0.00773309
coral,0.037091457,0.059681933,0.06633194,0.031850298,0.14836479,0.065491921,0.081672374,0.059033574,0.073353505,0.069508806,0.121418923,0.051828395,0.104469278,0.089049594,0.118998387,0.036538302,0.040133929,0.070348457,0.053255868,0.070207635,0.119078552,0.030754684,0.076773769,0.066002059,0.043516245,0.060637982,0.043283773,0.066420899,0.055009981,0.040690454,0.039417647,0.010304413,0.072068482,0.101435719,0.056381261,0.014559487,0.015671164,0.014503705,0.123565071,0.074078294,0.095514893,0.039023556,0.069929719,0.095253928,0.071854674,0.057414028,0.159362322,0.138313349,0.079172661,0.064697904
adae,0.015498773,0.03788849,0.030472971,0.059831581,0.009995301,0.053545361,0.202193425,0.051874272,0.062179822,0.102869655,0.053751262,0.014772484,0.03611225,0.052956565,0.014516632,0.046864189,0.050503404,0.076167878,0.088394984,0.094501883,0.013073101,0.058561669,0.015006871,0.043928063,0.072220886,0.073788424,0.054572613,0.109243259,0.01750834,0.037734792,0.108247329,0.06992373,0.053363983,0.033418363,0.077392457,0.082579883,0.14562286,0.115143395,0.025769615,0.0495498,0.028710249,0.039993187,0.083540725,0.041327481,0.070269087,0.076777472,0.087645981,0.020671936,0.125277362,0.017074507
tcrp,0.032262967,0.00590844,0.099095734,0.097729469,0.098997701,0.078563384,0,0.024309542,0.108938046,0.044207432,0,0.105263186,0.048647557,0.080782325,0.046061962,0.029641894,0.059960185,0.036687141,0.055356939,0.088064695,0.135302981,0.090943866,0.054392672,0.02700446,0.038901671,0.130761365,0.091084555,0.102241678,0.13406278,0.018830627,0.078451207,0.086158539,0.049294399,0.081786746,0.072579489,0.032557143,0.030432216,0.035762793,0.127945187,0.081950834,0.066789374,0.098741664,0.126921012,0.111380003,0.12064632,0.037816147,0.013642648,0.065624594,0.036608249,0.049456212
dsna,0.027414536,0.072145702,0.130546063,0.136710527,0.19915396,0.046132622,0.12578594,0.056022064,0.142358664,0.158939045,0.024104383,0.133872104,0.065771409,0.070351635,0.078003558,0.045899933,0.064427364,0.042773678,0.177264451,0.075084391,0.097237745,0.064002195,0.071403262,0.048746719,0.063132396,0.118916103,0.080643625,0.078944375,0.083049626,0.093844417,0.041506971,0.056547671,0.091129928,0.065013444,0.175790967,0.074969469,0.125818501,0.027302628,0.073188726,0.102678334,0.072755835,0.124072532,0.111458094,0.026016956,0.146849013,0.070046109,0.066872766,0.092270859,0.082799064,0.054728848
coxen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001054093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coxrf,0.057914409,0.064468246,0.065348413,0.047581375,0.065908926,0.040191314,0.041209776,0.075081035,0.065571717,0.059261369,0.047781872,0.04700115,0.097288756,0.050832787,0.052259211,0.058203498,0.033288434,0.080602318,0.095837915,0.03599451,0.094207324,0.100774089,0.066395491,0.081841216,0.073914125,0.055261261,0.10650861,0.083254649,0.089158509,0.088611494,0.110015122,0.091057709,0.095943498,0.088930003,0.104407603,0.039344166,0.102889386,0.093286307,0.071109804,0.052403403,0.05480268,0.069217621,0.059944122,0.076532338,0.138583535,0.074330153,0.070937164,0.06975086,0.071795521,0.07933939
dsn,0.046821201,0.087177295,0.067953281,0.094736535,0.113547599,0.043710145,0.125412536,0.022364371,0.061098476,0.074849636,0.08358753,0.041665468,0.102167571,0.113209504,0.09367399,0.055564868,0.029412193,0.027493994,0.037316818,0.164414624,0.096512093,0.044408078,0.056413732,0.034669813,0.012328684,0.083406393,0.08644818,0.077381192,0.038446525,0.120977658,0.066111831,0.108496377,0.11012145,0.059800091,0.160924795,0.065388996,0.023153465,0.057278781,0.094628279,0.075121471,0.051252722,0.023518538,0.064394546,0.030212982,0.103656083,0.068439641,0.135715564,0.017650392,0.069266861,0.058495147
adsn_norm,0.016995173,0.014285714,0.02992012,0.032152792,0.019522272,0.032632246,0.14863274,0.022975576,0.056960968,0.021547325,0.0736111,0.006682217,0.069473044,0.006446026,0.032640067,0.041592317,0.022104097,0.013608276,0.008164966,0.053963404,0.005847953,0.025618726,0.009799394,0.040200329,0.021645694,0.023697256,0.049348947,0.006446026,0.021404947,0.019141131,0.081478601,0.089148667,0.034921757,0.014369037,0.025055494,0.028969718,0.073484692,0.097923451,0.024494897,0.016518075,0.039993074,0.024835803,0.020294808,0.011187793,0.167337116,0.059163525,0,0.044571352,0.008164966,0.007048899
